n,k_true,epsilon,scheme,delta_used,eta,seed,ari,count_max_pred,count_max_true,count_mae_max,count_total_pred,count_total_true,count_mae_total,n_clusters_found,elapsed_sec
100,4,10,adaptive-a0.30,3,0.25,1,0.0,100,32,68,100,95,5,1,0.0007
100,4,10,adaptive-a0.40,4,0.375,1,0.0,100,32,68,100,95,5,1,0.0006
100,4,10,adaptive-a0.50,5,0.5,1,0.5181783555756778,66,32,34,100,95,5,5,0.0006
100,4,10,fixed-1,1,0.0,2,0.0,100,32,68,100,95,5,1,0.0009
100,4,10,fixed-2,2,0.125,2,0.030201087670890383,98,32,66,100,95,5,3,0.0006
100,4,10,fixed-3,3,0.25,2,0.030201087670890383,98,32,66,100,95,5,3,0.0007
100,4,10,fixed-5,5,0.5,2,0.06195792276844751,94,32,62,100,95,5,7,0.0006
100,4,10,fixed-7,7,0.75,2,0.4754366072516,50,32,18,100,95,5,24,0.0005
100,4,10,adaptive-a0.30,3,0.25,2,0.030201087670890383,98,32,66,100,95,5,3,0.0007
100,4,10,adaptive-a0.40,4,0.375,2,0.0631485160569117,95,32,63,100,95,5,6,0.0006
100,4,10,adaptive-a0.50,5,0.5,2,0.06195792276844751,94,32,62,100,95,5,7,0.0007
100,4,10,fixed-1,1,0.0,3,0.0,100,32,68,100,95,5,1,0.0007
100,4,10,fixed-2,2,0.125,3,0.0,100,32,68,100,95,5,1,0.001
100,4,10,fixed-3,3,0.25,3,0.0,100,32,68,100,95,5,1,0.0007
100,4,10,fixed-5,5,0.5,3,0.081410728219545,95,32,63,100,95,5,6,0.0006
100,4,10,fixed-7,7,0.75,3,0.4985957740887235,55,32,23,100,95,5,19,0.0006
100,4,10,adaptive-a0.30,3,0.25,3,0.0,100,32,68,100,95,5,1,0.0007
100,4,10,adaptive-a0.40,4,0.375,3,0.04646138975475113,97,32,65,100,95,5,4,0.0006
100,4,10,adaptive-a0.50,5,0.5,3,0.081410728219545,95,32,63,100,95,5,6,0.0006
100,4,10,fixed-1,1,0.0,4,0.0,100,32,68,100,95,5,1,0.0006
100,4,10,fixed-2,2,0.125,4,0.0,100,32,68,100,95,5,1,0.0006
100,4,10,fixed-3,3,0.25,4,0.5226244698001283,66,32,34,100,95,5,3,0.0006
100,4,10,fixed-5,5,0.5,4,0.5495633878168192,62,32,30,100,95,5,9,0.0008
100,4,10,fixed-7,7,0.75,4,0.37307943757077,42,32,10,100,95,5,36,0.0006
100,4,10,adaptive-a0.30,3,0.25,4,0.5226244698001283,66,32,34,100,95,5,3,0.0006
100,4,10,adaptive-a0.40,4,0.375,4,0.5520907250226539,65,32,33,100,95,5,5,0.0006
100,4,10,adaptive-a0.50,5,0.5,4,0.5495633878168192,62,32,30,100,95,5,9,0.0012
150,4,10,fixed-1,1,0.04,0,0.0,150,48,102,150,143,7,1,0.0015
150,4,10,fixed-2,2,0.16,0,0.02032766181988257,148,48,100,150,143,7,3,0.0012
150,4,10,fixed-3,3,0.27999999999999997,0,0.5510649268085323,97,48,49,150,143,7,5,0.0012
150,4,10,fixed-5,5,0.5199999999999999,0,0.9152798833461497,47,48,1,150,143,7,16,0.0021
150,4,10,fixed-7,7,0.7599999999999999,0,0.6416184411070857,41,48,7,150,143,7,46,0.001
150,4,10,adaptive-a0.30,3,0.27999999999999997,0,0.5510649268085323,97,48,49,150,143,7,5,0.0011
150,4,10,adaptive-a0.40,4,0.39999999999999997,0,0.9754664534458022,50,48,2,150,143,7,8,0.001
150,4,10,adaptive-a0.50,4,0.39999999999999997,0,0.9754664534458022,50,48,2,150,143,7,8,0.001
150,4,10,fixed-1,1,0.04,1,0.0,150,48,102,150,143,7,1,0.0011
150,4,10,fixed-2,2,0.16,1,0.9274578558194723,51,48,3,150,143,7,3,0.0012
150,4,10,fixed-3,3,0.27999999999999997,1,0.9367303420807813,50,48,2,150,143,7,4,0.0011
150,4,10,fixed-5,5,0.5199999999999999,1,0.9257669111133202,48,48,0,150,143,7,13,0.0014
150,4,10,fixed-7,7,0.7599999999999999,1,0.5981620891844421,41,48,7,150,143,7,47,0.0013
150,4,10,adaptive-a0.30,3,0.27999999999999997,1,0.9367303420807813,50,48,2,150,143,7,4,0.0015
150,4,10,adaptive-a0.40,4,0.39999999999999997,1,0.9458537341983967,49,48,1,150,143,7,9,0.0011
150,4,10,adaptive-a0.50,4,0.39999999999999997,1,0.9458537341983967,49,48,1,150,143,7,9,0.0013
150,4,10,fixed-1,1,0.04,2,0.0,150,48,102,150,143,7,1,0.0011
150,4,10,fixed-2,2,0.16,2,0.0,150,48,102,150,143,7,1,0.0021
150,4,10,fixed-3,3,0.27999999999999997,2,0.5322902056534832,97,48,49,150,143,7,7,0.0011
150,4,10,fixed-5,5,0.5199999999999999,2,0.8540321075341557,44,48,4,150,143,7,24,0.001
150,4,10,fixed-7,7,0.7599999999999999,2,0.4189333158883648,30,48,18,150,143,7,68,0.001
150,4,10,adaptive-a0.30,3,0.27999999999999997,2,0.5322902056534832,97,48,49,150,143,7,7,0.001
150,4,10,adaptive-a0.40,4,0.39999999999999997,2,0.8884249656240225,47,48,1,150,143,7,13,0.001
150,4,10,adaptive-a0.50,4,0.39999999999999997,2,0.8884249656240225,47,48,1,150,143,7,13,0.0011
150,4,10,fixed-1,1,0.04,3,0.0,150,48,102,150,143,7,1,0.0012
150,4,10,fixed-2,2,0.16,3,0.009996287486078125,149,48,101,150,143,7,2,0.0011
150,4,10,fixed-3,3,0.27999999999999997,3,0.5445304751753516,98,48,50,150,143,7,5,0.0011
150,4,10,fixed-5,5,0.5199999999999999,3,0.9353681584290214,47,48,1,150,143,7,16,0.0011
150,4,10,fixed-7,7,0.7599999999999999,3,0.500691776133166,34,48,14,150,143,7,60,0.001
150,4,10,adaptive-a0.30,3,0.27999999999999997,3,0.5445304751753516,98,48,50,150,143,7,5,0.0012
150,4,10,adaptive-a0.40,4,0.39999999999999997,3,0.9454182519558472,49,48,1,150,143,7,13,0.0011
150,4,10,adaptive-a0.50,4,0.39999999999999997,3,0.9454182519558472,49,48,1,150,143,7,13,0.001
